;struct;abs_ads [mol/uc];abs_ads [mol/sc];abs_ads [mg/g];abs_ads [mg/cm3];abs_ads [mol/kg];abs_ads [cm3STP/g];abs_ads [cm3STP/cm3];q_st [kjmol]
4281;dea_29-01-01_16-01-01_16-01-01_10-08-01_10-08-01_10-08-01_10-08-01_10-08-01;588.54;588.54;1115.4286696742702;57.97997403305366;69.5297771895;1558.43874008205;81.007634229492;5.659993246995816
4282;umd_24-03-09_04-05-09_04-05-09_04-05-09_04-05-09;2224.1;2224.1;1732.1460776842498;52.35744951341612;107.9725975927;2420.09518321362;73.15203550394;4.593283710991255
4283;tta_35-11-03_35-11-03_35-11-03_01-01-03_01-01-03_01-01-03;253.02;253.02;519.0773450937;81.44458549372365;32.356468103682;725.2370910795061;113.791585831938;7.472105196822628
4284;twt-c_11-02-08_07-10-08_07-10-08;34.705;277.64;261.874789209693;126.64826682021568;16.3238548951885;365.88248773541295;176.9486214056825;13.926207931844026
4285;cry_16-02-08_16-02-08_16-02-08_06-10-08_06-10-08_06-10-08;195.635;782.54;233.7773804113935;91.70851004155216;14.572414727442002;326.625750335401;128.131989723518;9.884177068946933
4286;tbo_14-02-04_24-02-04_02-03-04;3095.04;3095.04;1132.0011594078721;55.46857459161529;70.56281633356801;1581.59325512448;77.498792926464;5.152984677690532
4287;rho_29-04-05_04-02-05_03-02-05;4788.78;4788.78;1658.3796613204142;52.56803801787748;103.374399230394;2317.0312725765184;73.446262557534;4.4131788316447125
4288;bab_30-02-05_30-02-05_05-04-05_05-04-05_05-04-05_05-04-05;861.52;861.52;1341.120421187888;53.75513190912223;83.59817765516802;1873.7675266706;75.104829493232;4.8156327008168445
4289;ffc_24-01-03_24-01-03_35-11-03_None_None;83.1;166.2;517.00154849931;86.39887618065191;32.227074180929996;722.3368591554602;120.71355112194001;7.840792919355696
4290;ood-a_16-01-01_16-01-01_16-01-01_28-01-01_06-08-01_06-08-01_06-08-01_06-08-01_06-08-01_06-08-01_06-08-01_06-08-01;4531.02;4531.02;1989.281974649658;51.487690681275645;124.00105551108598;2779.3566533880426;71.93683825933799;4.366361063436958
4291;dpc_16-02-08_28-02-08_16-02-08_06-10-08_06-10-08;5117.9;5117.9;894.9863451651902;62.79605599170703;55.78859733706;1250.44427317184;87.73649901677;5.751460440246841
4292;mtd_15-02-06_32-02-06_24-02-06_None_03-02-06;309.445;1237.78;306.76842530161247;72.57024407322876;19.122280833117;428.60633870807453;101.39265988928503;6.96336992876045
4293;ish_29-02-04_02-03-04;2956.76;2956.76;670.707554104388;64.82787871024176;41.808273574792004;937.0896267834961;90.57529215824401;6.440460178176279
4294;tfa-c_14-03-12_29-03-12_08-12-12_08-12-12;390.4;390.4;593.86935477056;75.70723680237495;37.01859656192;829.7339257830399;105.77555871104;6.951938289960176
4295;bpr_14-02-08_16-02-08_07-10-08_07-10-08;3127.08;3127.08;943.9914671634481;60.620258101589464;58.843311306383995;1318.91255146134;84.69654871273198;6.019861591935334
4296;tfv_11-02-08_30-02-08_06-10-08_06-10-08;65.27;130.54;487.95123964713304;107.0591627009575;30.416235391334002;681.748762439947;149.579395949514;9.622957449162096
4297;bcq_29-02-06_29-02-06_01-02-06_01-02-06_01-02-06_01-02-06;1145.58;1145.58;1092.5753695376038;57.55944285485472;68.10522634879199;1526.5088917835578;80.420082471042;4.882853963991749
4298;etc_12-01-01_12-01-01_08-08-01_08-08-01;235.41;470.82;860.116065391317;66.47313960821091;53.61497334083099;1201.724712384378;92.87399432612699;6.151382675716445
4299;eed_32-02-08_31-02-08_29-02-08_10-10-08_10-10-08;865.14;865.14;1269.639039814416;56.859876314197116;79.14241579029598;1773.8961884791438;79.442672057322;4.8463751382695195
4300;hbt_24-02-08_32-02-08_24-02-08_07-10-08_07-10-08_07-10-08;234.84;939.36;173.143807179276;86.39631968615966;10.792846443996002;241.91059820432397;120.709979284968;11.28509011546146
4301;gee_24-03-12_21-12-12_24-03-12_None_None;576.32;576.32;647.069118582656;75.06889023465445;40.334781510656;904.0628139860802;104.88368274630402;6.526358078314838
4302;bod_16-02-06_15-02-06_03-02-06_01-02-06;1415.54;1415.54;3818.665022644961;47.88440305694479;238.03487882757804;5335.308001667672;66.90244817751599;4.60896135372308
4303;mtf_31-03-09_12-03-09_31-03-09_02-05-09_02-05-09;100.95333319999997;302.85999960000004;164.86406807526907;88.81775826438187;10.276732376770418;230.3424302344077;124.09313033116159;11.54881517684141
4304;ths-b-c_14-02-06_16-02-06_03-02-06_04-02-06;218.52;218.52;1272.3965671681801;55.31495326094816;79.314305111568;1777.7489111877242;77.28415846869599;5.251506338494558
4305;coe_28-02-04_29-02-04_02-03-04_02-03-04_02-03-04_02-03-04_02-03-04;366.46;366.46;504.26547041554807;76.47881347576822;31.433176090754;704.5424469843581;106.853579215478;6.239738370540615
4306;hbt_31-01-01_23-08-01_31-01-01_None_None_None;128.9533326;386.8599978;207.53337202187208;133.81764437357634;12.936505505823195;289.9585205347484;186.9654302148475;18.464775827050268
4307;afi_30-03-09_03-05-09_03-05-09_03-05-09_03-05-09;1107.68;1107.68;1038.6889459604;58.749825110944805;64.7462387432;1451.22062603952;82.08324379382401;5.890804296031059
4308;cza_28-03-04_16-03-04_16-03-04_03-02-04_03-02-04;2481.72;2481.72;1505.8044475138079;53.818121694059684;93.86368729891201;2103.858408515676;75.192836655192;4.896772020412644
4309;rho_28-01-01_08-08-01_09-08-01;2451.22;2451.22;822.297249038772;65.5583597438013;51.25755334075;1148.885557014384;91.59589520608401;6.459421972285875
4310;itv_30-03-12_30-03-12_06-12-12_06-12-12;136.7;273.4;326.06623689469995;142.35783209095032;20.32520179814;455.56858024275994;198.89748803723995;14.221678277780706
4311;ctn_16-02-04_29-03-04_None;313.38;313.38;548.627956062804;82.48721571418193;34.19849299743;766.524192769152;115.24831306965001;7.866191313856543
4312;eed_13-02-06_31-02-06_29-02-06_02-02-06_01-02-06;893.14;893.14;1522.632472825982;53.35189490138291;94.91265505649199;2127.3699494135503;74.541440553162;4.798323555538032
4313;zul_29-02-06_31-02-06_16-02-06_02-02-06_02-02-06_02-02-06_02-02-06_02-02-06_02-02-06;1680.26;1680.26;1067.347791648924;55.522143521312536;66.532675866352;1491.2617838981218;77.573637610218;5.164733628057988
4314;srs-b_16-02-08_17-10-08_None;57.9225;463.38;527.4750343235776;95.06697329257568;32.879934517150495;736.9700548957808;132.82431957381755;7.950476044276584
4315;tpy_23-10-08_23-10-08_23-10-08_05-02-08_05-02-08_05-02-08;3419.12;3419.12;4241.031533755856;47.831700837169684;264.362917739544;5925.424027392176;66.828814441896;4.126095182284754
4316;ana-b_30-03-09_29-03-09_01-05-09_01-05-09_01-05-09_01-05-09;1751.3;1751.3;885.80094583011;62.03244930431489;55.21602964941001;1237.6107477319201;86.66961389978;5.978201728387569
4317;xaa_16-02-08_16-02-08_08-10-08_08-10-08;4449.24;4449.24;1340.311403018052;55.92591680176195;83.54774774383199;1872.6371936808837;78.13777578692401;5.166356918862389
